mol,mol_atom_id,x,y,z
1,153,130.18386205073585,89.9744,79.283
1,154,130.91906205073585,90.5548,78.7255
1,155,130.15626205073585,88.9668,78.8681
1,156,130.61246205073584,89.9099,80.2831
1,157,110.773,91.545,92.1241
1,158,111.744,92.0394,92.1566
1,159,110.859,90.6852,91.4598
1,160,110.43,91.0635,93.4935
1,161,109.64,90.3229,93.3669
1,162,110.061,91.8319,94.1725
1,163,111.64,90.4713,94.1784
1,164,112.499,91.1427,94.1946
1,165,111.988,89.4937,93.8444
1,166,111.314,90.2114,95.6261
1,167,110.517,89.4726,95.7171
1,168,110.997,91.1092,96.1571
1,169,112.486,89.6005,96.4562
1,170,113.425,90.1312,96.297
1,171,112.629,88.5681,96.137
1,172,112.132,89.4416,97.9807
1,173,111.431,88.6146,98.0952
1,174,111.613,90.3591,98.2578
1,175,113.44,89.1122,98.8143
1,176,113.218,89.1704,99.88
1,177,114.146,89.9077,98.5768
1,178,114.036,87.6855,98.6147
1,179,114.43,87.4905,97.6172
1,180,113.167,87.0432,98.7614
1,181,115.091,87.4345,99.5972
1,182,114.657,87.4922,100.595
1,183,115.751,88.2924,99.4712
1,184,115.985,86.1808,99.4242
1,185,115.352,85.3408,99.1372
1,186,116.623,85.9796,100.285
1,187,116.58,86.3048,98.5196
1,188,110.412,93.6663,83.7599
1,189,109.95,92.6915,83.9161
1,190,111.205,93.5446,83.0223
1,191,114.52,96.6402,83.3944
1,192,115.522,96.568,82.9707
1,193,114.608,96.5465,84.4767
2,1,68.5304,102.161,81.2135
2,2,68.9243,103.332,81.904
2,3,70.0164,103.108,82.9491
2,4,70.5637,101.794,83.114
2,5,70.0941,100.61,82.422
2,6,69.069,100.841,81.4592
2,7,68.7068,99.7106,80.7796
2,8,69.6086,98.4651,81.4079
2,9,70.5313,99.2959,82.5594
2,10,67.5564,102.534,80.2932
2,11,67.3475,103.902,80.3539
2,12,68.2479,104.442,81.3195
2,13,71.5548,101.811,84.0204
2,14,71.7132,103.089,84.4897
2,15,70.8199,103.923,83.8035
2,16,66.3402,104.342,79.4934
2,17,65.7669,103.35,78.7013
2,18,66.3981,101.757,79.2292
2,19,72.8701,103.137,85.3507
2,20,73.508,101.912,85.4969
2,21,72.7424,100.653,84.6013
2,22,64.7702,103.753,77.8197
2,23,64.4853,105.167,77.9106
2,24,65.499,105.867,79.1738
2,25,74.6805,101.884,86.2556
2,26,74.9111,103.169,86.8768
2,27,73.6937,104.354,86.2841
2,28,63.5196,105.829,77.1096
2,29,63.3131,107.084,76.5871
2,30,76.1207,103.471,87.6535
2,31,76.9448,104.579,87.9775
2,32,68.2429,105.848,81.426
2,33,70.7565,105.341,84.2502
2,34,75.6992,100.831,86.2946
2,35,63.9817,102.807,76.9419
2,36,62.1305,107.519,75.7698
2,37,62.2998,108.906,75.4505
2,38,63.5538,109.368,76.0272
2,39,64.1623,108.245,76.7815
2,40,78.2281,104.538,88.7699
2,41,78.7182,106.009,88.6826
2,42,77.7745,106.905,88.0687
2,43,76.6314,106.028,87.6009
2,44,64.0349,110.693,75.9413
2,45,63.2186,111.545,75.1254
2,46,61.9721,111.154,74.5885
2,47,61.5815,109.825,74.6981
2,48,78.0165,108.299,87.8835
2,49,79.2958,108.782,88.3057
2,50,80.2257,107.891,88.8679
2,51,79.9764,106.521,89.1024
2,52,65.1435,108.349,77.4638
2,53,75.601,106.492,87.1556
2,54,61.2508,111.967,73.8062
2,55,63.5613,112.813,74.967
2,56,79.6689,110.042,87.9841
2,57,81.4477,108.347,89.0222
2,58,61.0638,106.72,75.2185
2,59,59.9379,107.231,74.4632
2,60,59.0343,107.623,73.791
2,61,60.9145,105.331,75.4512
