mol,mol_atom_id,x,y,z
1,1,110.363,66.0406,111.695
1,2,110.028,65.5092,110.385
1,3,110.132,64.0761,110.133
1,4,110.493,63.2008,111.229
1,5,110.826,63.689,112.565
1,6,110.723,65.1081,112.806
1,7,111.127,65.4164,114.1
1,8,111.627,63.9753,114.811
1,9,111.075,62.933,113.652
1,10,110.362,67.3802,111.667
1,11,109.987,67.8051,110.385
1,12,109.777,66.6359,109.607
1,13,110.442,61.8721,110.732
1,14,110.268,61.9344,109.38
1,15,110.068,63.2305,108.983
1,16,109.796,69.2033,110.315
1,17,110.168,69.8965,111.45
1,18,110.729,68.7442,112.709
1,19,110.431,60.6723,108.777
1,20,110.758,59.7163,109.712
1,21,110.653,60.2715,111.372
1,22,109.903,71.2319,111.41
1,23,109.375,71.6452,110.186
1,24,109.292,70.2995,109.057
1,25,110.876,58.414,109.179
1,26,110.657,58.4081,107.787
1,27,110.265,60.0442,107.221
1,28,109.089,73.0314,109.857
1,29,108.658,73.7204,108.767
1,30,110.849,57.2386,106.997
1,31,111.069,57.0015,105.719
1,32,109.103,66.8549,108.307
1,33,109.905,63.5267,107.549
1,34,110.967,57.2862,110.179
1,35,110.249,72.1434,112.621
1,36,108.489,75.216,108.693
1,37,107.971,75.511,107.291
1,38,107.984,74.3625,106.479
1,39,108.352,73.2328,107.381
1,40,111.274,55.6394,105.147
1,41,111.629,55.8106,103.72
1,42,111.678,57.1926,103.383
1,43,111.353,57.9834,104.617
1,44,107.533,74.3617,105.14
1,45,107.146,75.5862,104.57
1,46,107.069,76.7148,105.352
1,47,107.478,76.6898,106.72
1,48,112.116,57.6582,102.161
1,49,112.511,56.7807,101.238
1,50,112.489,55.407,101.486
1,51,111.952,54.9255,102.681
1,52,108.37,72.1014,106.952
1,53,111.44,59.2059,104.578
1,54,106.627,77.8922,104.92
1,55,106.545,75.5895,103.395
1,56,112.805,57.1096,99.9839
1,57,112.792,54.465,100.569
1,58,108.711,76.1978,109.62
1,59,108.455,77.6248,109.458
1,60,108.297,78.7925,109.324
1,61,109.419,76.0279,110.884
1,62,109.967,75.9555,111.941
1,63,111.333,54.3946,105.732
1,64,110.868,53.9476,107.011
1,65,110.47,53.6482,108.016
1,66,111.671,53.1594,105.037
1,67,111.875,52.1336,104.504
1,68,109.243,73.6834,110.708
1,69,110.752,56.3535,107.614
1,70,109.776,66.3769,107.594
1,71,108.936,67.8785,107.972
1,72,109.397,64.4691,107.343
1,73,109.407,62.7472,106.972
1,74,111.379,57.7573,111.071
1,75,111.693,56.5552,109.823
1,76,110.369,71.4653,113.466
1,77,109.323,72.6998,112.77
1,78,107.316,73.4542,104.589
1,79,107.208,77.5649,107.294
1,80,112.118,58.7246,101.968
1,81,112.074,53.8623,102.832
1,82,107.697,66.0892,108.235
