mol,mol_atom_id,x,y,z
1,1,110.408,66.518,111.317
1,2,110.094,66.0888,109.976
1,3,110.278,64.6736,109.606
1,4,110.554,63.7692,110.67
1,5,110.815,64.1906,112.019
1,6,110.743,65.6043,112.372
1,7,111.177,65.87,113.592
1,8,111.37,64.4139,114.347
1,9,111.067,63.4627,113.037
1,10,110.298,67.9065,111.344
1,11,110.013,68.3317,110.061
1,12,109.822,67.198,109.209
1,13,110.443,62.4333,110.172
1,14,110.408,62.5401,108.826
1,15,110.22,63.8842,108.467
1,16,109.913,69.7206,109.942
1,17,110.188,70.3424,111.164
1,18,110.429,69.2099,112.486
1,19,110.513,61.2648,108.231
1,20,110.52,60.2357,109.236
1,21,110.439,60.8899,110.855
1,22,110.175,71.7559,111.078
1,23,109.725,72.1792,109.779
1,24,109.458,70.8446,108.775
1,25,110.58,58.9446,108.761
1,26,110.735,58.9498,107.364
1,27,110.671,60.5782,106.745
1,28,109.418,73.5591,109.49
1,29,108.891,74.4074,108.543
1,30,111.064,57.7553,106.618
1,31,111.484,57.3981,105.3
1,32,109.159,67.4447,107.907
1,33,110.067,64.2888,107.145
1,34,110.944,57.7535,109.696
1,35,110.367,72.5748,112.335
1,36,108.766,75.8974,108.539
1,37,108.305,76.3357,107.166
1,38,108.181,75.2092,106.42
1,39,108.479,73.9728,107.189
1,40,111.709,56.0187,104.967
1,41,112.211,56.0789,103.566
1,42,112.215,57.3998,103.109
1,43,111.858,58.3131,104.207
1,44,107.676,75.26,105.128
1,45,107.373,76.533,104.583
1,46,107.451,77.721,105.388
1,47,107.901,77.6069,106.682
1,48,112.585,57.7805,101.788
1,49,112.857,56.7794,100.791
1,50,112.931,55.446,101.259
1,51,112.588,55.1298,102.596
1,52,108.369,72.8639,106.742
1,53,111.745,59.5261,104.098
1,54,107.101,78.8349,104.959
1,55,106.71,76.6277,103.419
1,56,113.2,57.212,99.588
1,57,113.307,54.3954,100.498
1,58,108.989,76.8309,109.551
1,59,108.898,78.2457,109.49
1,60,108.823,79.3831,109.429
1,61,109.489,76.4867,110.842
1,62,109.931,76.2483,111.879
