mol,mol_atom_id,x,y,z
1,1,110.343,66.6021,111.208
1,2,110.044,65.9985,109.905
1,3,110.147,64.5294,109.701
1,4,110.555,63.7423,110.857
1,5,110.859,64.3352,112.064
1,6,110.76,65.7254,112.279
1,7,111.049,66.0933,113.548
1,8,111.484,64.7331,114.286
1,9,111.266,63.6776,113.105
1,10,110.191,67.9664,111.086
1,11,109.913,68.269,109.814
1,12,109.636,67.1172,109.12
1,13,110.518,62.4186,110.531
1,14,110.415,62.4779,109.146
1,15,110.101,63.724,108.676
1,16,109.88,69.6714,109.585
1,17,110.051,70.3649,110.739
1,18,110.457,69.3712,112.072
1,19,110.604,61.1787,108.618
1,20,110.774,60.2118,109.576
1,21,110.738,60.8218,111.17
1,22,110.011,71.7887,110.666
1,23,109.716,72.1846,109.359
1,24,109.537,70.7362,108.295
1,25,110.982,58.8809,109.124
1,26,110.942,58.8331,107.71
1,27,110.9,60.4782,107.067
1,28,109.414,73.5496,109.079
1,29,108.859,74.3734,108.103
1,30,111.293,57.561,107.064
1,31,111.619,57.1547,105.782
1,32,109.108,67.2143,107.73
1,33,110.036,63.9261,107.236
1,34,111.127,57.73,110.134
1,35,109.981,72.583,111.977
1,36,108.597,75.7824,108.131
1,37,107.969,76.1772,106.852
1,38,107.836,75.0439,106.053
1,39,108.31,73.8874,106.753
1,40,111.95,55.7523,105.268
1,41,112.22,55.8699,103.833
1,42,112.005,57.2008,103.42
1,43,111.656,58.0187,104.592
1,44,107.13,75.0538,104.837
1,45,106.732,76.2552,104.306
1,46,106.937,77.4138,105.087
1,47,107.56,77.4214,106.33
1,48,112.114,57.619,102.098
1,49,112.414,56.7298,101.113
1,50,112.644,55.3925,101.436
1,51,112.532,54.9702,102.791
1,52,108.272,72.7943,106.215
1,53,111.483,59.2645,104.508
1,54,106.516,78.5801,104.608
1,55,106.154,76.3271,103.12
1,56,112.624,57.0854,99.9021
1,57,113.0,54.5172,100.506
1,58,108.891,76.6661,109.125
1,59,108.582,78.055,109.199
1,60,108.156,79.0977,109.151
1,61,109.495,76.3566,110.454
1,62,109.907,76.0806,111.494
1,63,112.03,54.6096,105.994
1,64,112.153,54.5606,107.47
1,65,112.16,54.456,108.637
1,66,112.25,53.298,105.451
1,67,112.389,52.2494,104.906
1,68,109.881,74.0158,109.937
1,69,111.184,56.7936,107.821
1,70,109.795,66.7865,106.999
1,71,108.922,68.2499,107.445
1,72,109.254,64.6828,107.17
1,73,109.647,63.0066,106.798
1,74,111.891,58.1214,110.807
1,75,111.497,56.7916,109.721
1,76,109.712,71.9229,112.802
1,77,109.265,73.4051,111.962
1,78,106.973,74.094,104.358
1,79,107.639,78.3724,106.837
1,80,111.862,58.6396,101.833
1,81,112.666,53.9256,103.034
1,82,107.681,66.6762,107.674
1,83,107.722,65.6217,107.947
1,84,107.236,66.7275,106.165
1,85,106.847,67.7378,106.038
1,86,108.01,66.5713,105.413
1,87,106.073,65.7723,105.762
1,88,106.319,64.7138,105.845
1,89,105.248,65.9774,106.444
1,90,105.635,66.0506,104.311
1,91,106.499,66.0207,103.647
1,92,104.976,65.2276,104.037
1,93,104.815,67.3372,104.102
1,94,105.287,68.2099,104.553
1,95,104.627,67.5191,103.044
1,96,103.85,67.318,104.609
1,97,111.498,64.1574,106.594
1,98,112.041,63.2674,106.913
1,99,112.2,65.3919,107.183
1,100,111.782,66.3565,106.894
1,101,112.131,65.3106,108.268
1,102,113.736,65.3199,106.734
1,103,114.076,64.2913,106.613
1,104,113.848,65.8226,105.773
1,105,114.573,66.2156,107.665
1,106,114.242,67.2536,107.64
1,107,114.635,65.9109,108.71
1,108,116.047,65.9725,107.353
1,109,116.262,66.3283,106.345
1,110,116.781,66.4951,107.966
1,111,116.281,64.9106,107.429
1,112,106.582,67.3479,108.579
1,113,107.134,67.9401,109.309
1,114,105.975,68.0317,107.986
1,115,105.853,66.2444,109.306
1,116,105.522,65.5073,108.575
1,117,106.52,65.6254,109.906
1,118,104.952,66.5917,109.812
1,119,111.471,64.2266,105.026
1,120,110.794,65.0443,104.776
1,121,112.46,64.4859,104.65
1,122,111.193,62.9282,104.253
1,123,110.176,62.5586,104.385
1,124,111.329,63.0646,103.18
1,125,111.835,62.0964,104.542
1,126,109.798,57.3492,110.851
1,127,109.148,58.2233,110.825
1,128,109.312,56.5552,110.283
1,129,109.859,56.9861,112.366
1,130,110.495,57.7247,112.854
1,131,108.83,57.183,112.666
1,132,110.327,55.6017,112.68
1,133,109.444,54.9635,112.719
1,134,110.941,55.2705,111.842
1,135,111.3,55.567,113.952
1,136,112.021,56.3744,113.826
1,137,110.841,55.6799,114.934
1,138,112.132,54.2689,114.057
1,139,112.704,54.2505,113.13
1,140,111.435,53.4313,114.035
1,141,113.196,54.1408,115.172
1,142,113.792,55.0447,115.296
1,143,112.671,53.9569,116.11
1,144,114.216,52.9754,114.936
1,145,114.829,52.8801,115.831
1,146,114.861,53.3121,114.124
1,147,113.682,51.6308,114.49
1,148,112.855,51.3535,115.144
1,149,113.276,51.7931,113.491
1,150,114.726,50.5544,114.366
1,151,115.125,50.2449,115.332
1,152,115.565,50.8669,113.744
1,153,114.066,49.268,113.719
1,154,113.029,49.093,114.008
1,155,114.035,49.4691,112.648
1,156,114.633,48.3501,113.872
1,157,111.275,73.1865,112.375
1,158,112.012,72.3846,112.429
1,159,111.595,73.8805,111.598
1,160,111.174,74.0653,113.665
1,161,110.194,74.5414,113.652
1,162,111.216,73.4106,114.535
1,163,112.143,75.215,113.759
1,164,113.103,74.7091,113.866
1,165,112.188,75.8265,112.857
1,166,111.927,76.0933,114.983
1,167,112.847,76.624,115.226
1,168,111.648,75.4952,115.85
1,169,110.924,77.1881,114.679
1,170,111.187,77.7564,113.787
1,171,109.939,76.7504,114.517
1,172,110.864,78.3226,115.737
1,173,110.316,78.1116,116.655
1,174,111.843,78.712,116.015
1,175,110.1,79.6142,115.36
1,176,110.663,80.1245,114.579
1,177,109.089,79.4497,114.989
1,178,109.946,80.667,116.549
1,179,109.398,80.2352,117.386
1,180,110.929,80.9664,116.913
1,181,109.375,81.9358,116.07
1,182,110.076,82.2681,115.304
1,183,108.432,81.697,115.578
1,184,109.028,83.0025,117.027
1,185,108.181,82.724,117.654
1,186,109.939,83.1537,117.606
1,187,108.658,83.8682,116.478
2,1,92.831,119.25,92.5839
2,2,92.8521,120.127,91.4935
2,3,93.0069,121.576,91.6864
2,4,93.3789,122.049,92.9921
