mol,mol_atom_id,x,y,z
1,1,110.357,66.3526,111.337
1,2,109.99,65.8915,110.026
1,3,110.002,64.4745,109.856
1,4,110.215,63.6138,110.942
1,5,110.469,64.0831,112.303
1,6,110.549,65.4577,112.5
1,7,110.89,65.8965,113.693
1,8,111.252,64.5241,114.542
1,9,110.761,63.4538,113.428
1,10,110.262,67.7069,111.345
1,11,109.845,68.1274,110.113
1,12,109.721,67.0061,109.245
1,13,110.125,62.2999,110.472
1,14,110.029,62.3459,109.117
1,15,109.913,63.6575,108.717
1,16,109.74,69.5349,110.068
1,17,109.998,70.187,111.255
1,18,110.303,69.0093,112.487
1,19,110.289,61.0954,108.585
1,20,110.415,60.1182,109.548
1,21,110.293,60.7244,111.158
1,22,109.899,71.5882,111.211
1,23,109.603,72.063,109.89
1,24,109.396,70.7317,108.813
1,25,110.689,58.788,109.101
1,26,110.524,58.7894,107.666
1,27,110.451,60.4447,107.063
1,28,109.404,73.5115,109.664
1,29,108.899,74.2539,108.574
1,30,110.837,57.6839,106.85
1,31,111.134,57.3824,105.559
1,32,109.15,67.2738,107.915
1,33,109.836,63.9612,107.316
1,34,110.857,57.6032,110.029
1,35,110.094,72.4103,112.4
1,36,108.635,75.7376,108.502
1,37,107.939,75.9861,107.202
1,38,107.859,74.7714,106.496
1,39,108.511,73.7242,107.225
1,40,111.481,56.0225,105.031
1,41,111.74,56.2248,103.572
1,42,111.702,57.5875,103.282
1,43,111.257,58.3796,104.425
1,44,107.273,74.5915,105.257
1,45,106.844,75.7363,104.601
1,46,106.875,77.0296,105.265
1,47,107.495,77.1101,106.495
1,48,111.945,58.1267,101.979
1,49,112.141,57.2158,100.964
1,50,112.283,55.8518,101.243
1,51,111.99,55.3452,102.562
1,52,108.608,72.613,106.735
1,53,111.109,59.5626,104.431
1,54,106.393,78.1322,104.648
1,55,106.235,75.6011,103.421
1,56,112.405,57.6011,99.7787
1,57,112.481,55.0584,100.202
1,58,108.843,76.776,109.333
1,59,108.555,78.0944,109.127
1,60,108.329,79.2129,109.054
1,61,109.453,76.667,110.57
1,62,109.843,76.4852,111.601
1,63,111.574,54.7942,105.622
1,64,111.142,54.5161,106.966
1,65,110.804,54.3076,108.04
1,66,112.138,53.5675,105.064
1,67,112.63,52.6093,104.56
1,68,109.76,74.1319,110.478
1,69,110.552,56.8022,107.41
1,70,109.681,66.7484,107.122
1,71,109.016,68.3079,107.598
1,72,109.206,64.7915,106.997
1,73,109.396,63.0417,106.931
1,74,111.383,57.9192,110.93
1,75,111.509,56.9195,109.485
1,76,109.937,71.6947,113.207
1,77,109.266,73.1185,112.416
1,78,107.352,73.6259,104.771
1,79,107.62,78.1285,106.835
1,80,111.9,59.1627,101.663
1,81,112.156,54.2781,102.605
1,82,107.621,66.9284,107.976
1,83,107.607,65.9708,108.497
1,84,107.094,66.7569,106.599
1,85,106.827,67.746,106.228
1,86,107.899,66.3721,105.973
1,87,105.897,65.7876,106.361
1,88,106.26,64.7603,106.33
1,89,105.299,65.9034,107.265
1,90,105.067,66.1502,105.054
1,91,104.213,65.4859,104.924
1,92,104.684,67.1477,105.269
