mol,mol_atom_id,x,y,z
1,1,110.462,66.2886,111.188
1,2,110.061,65.8478,109.912
1,3,110.155,64.4104,109.661
1,4,110.392,63.4803,110.721
1,5,110.747,63.9506,112.032
1,6,110.813,65.4173,112.256
1,7,111.14,65.7357,113.533
1,8,111.469,64.3009,114.353
1,9,111.052,63.2718,113.114
1,10,110.402,67.7191,111.235
1,11,109.969,68.1106,109.967
1,12,109.669,66.9953,109.236
1,13,110.341,62.2213,110.288
1,14,110.22,62.3236,108.903
1,15,110.048,63.6065,108.455
1,16,109.9,69.5452,109.886
1,17,110.342,70.1905,111.04
1,18,110.718,69.1186,112.261
1,19,110.453,61.0516,108.35
1,20,110.617,59.9809,109.254
1,21,110.576,60.6277,110.869
1,22,110.318,71.6423,110.957
1,23,109.626,72.0184,109.74
1,24,109.228,70.6248,108.713
1,25,110.862,58.761,108.691
1,26,110.835,58.7818,107.29
1,27,110.646,60.4443,106.779
1,28,109.419,73.4375,109.465
1,29,108.902,74.2162,108.383
1,30,111.186,57.6457,106.506
1,31,111.6,57.2962,105.212
1,32,108.91,67.1352,108.033
1,33,109.912,63.9222,107.112
1,34,111.224,57.5047,109.519
1,35,110.75,72.5631,112.098
1,36,108.794,75.6682,108.402
1,37,108.167,76.0785,107.083
1,38,107.899,74.9098,106.351
1,39,108.298,73.7485,107.089
1,40,111.958,55.8886,104.73
1,41,112.335,56.124,103.258
1,42,112.226,57.4722,102.867
1,43,111.754,58.2383,104.038
1,44,107.301,74.9702,105.119
1,45,106.879,76.1482,104.578
1,46,107.055,77.33,105.327
1,47,107.749,77.3488,106.602
1,48,112.43,57.8934,101.596
1,49,112.781,56.956,100.613
1,50,112.921,55.6339,100.958
1,51,112.748,55.1698,102.261
1,52,108.168,72.6446,106.581
1,53,111.592,59.4566,104.0
1,54,106.631,78.5351,104.795
1,55,106.373,76.1635,103.352
1,56,112.914,57.3078,99.3498
1,57,113.422,54.7554,100.084
1,58,109.178,76.5352,109.397
1,59,109.105,77.9392,109.287
1,60,109.048,79.0826,109.214
1,61,109.754,76.3339,110.687
1,62,110.281,76.2676,111.685
1,63,111.992,54.6341,105.375
1,64,111.605,54.4038,106.775
1,65,111.268,54.178,107.802
1,66,112.439,53.3895,104.803
1,67,112.882,52.4616,104.262
1,68,109.732,73.9804,110.349
1,69,110.944,56.7381,107.046
1,70,109.622,66.8209,107.27
1,71,108.723,68.2004,107.896
1,72,109.528,64.9227,106.912
1,73,109.192,63.2046,106.719
1,74,111.8,57.8402,110.382
1,75,111.854,56.8294,108.94
1,76,109.917,73.2324,112.314
1,77,111.567,73.1652,111.7
1,78,107.311,74.0868,104.491
1,79,107.947,78.3225,107.027
1,80,112.188,58.9115,101.315
1,81,112.708,54.0904,102.296
1,82,107.554,66.4287,107.973
1,83,107.774,65.3748,108.144
1,84,106.968,66.448,106.404
1,85,106.195,67.2011,106.253
1,86,107.811,66.7017,105.761
1,87,106.336,65.1455,105.949
1,88,106.968,64.2885,106.181
1,89,105.368,64.9829,106.424
1,90,105.944,65.2252,104.498
1,91,106.82,65.5497,103.937
1,92,105.717,64.2017,104.199
1,93,104.794,66.1355,104.232
1,94,104.481,66.0472,103.192
1,95,103.924,65.9663,104.866
1,96,105.049,67.164,104.487
1,97,111.322,63.9993,106.399
1,98,111.833,63.0491,106.554
1,99,112.187,65.2331,106.847
1,100,111.695,66.1445,106.507
1,101,112.278,65.2887,107.932
1,102,113.592,65.3522,106.242
1,103,113.946,64.3405,106.045
1,104,113.634,65.9082,105.305
1,105,114.603,66.2638,106.966
1,106,114.166,67.2553,107.083
1,107,114.722,65.8327,107.96
1,108,115.979,66.4773,106.372
1,109,116.655,67.0176,107.034
1,110,116.48,65.5687,106.038
1,111,115.937,67.0224,105.429
1,112,106.47,67.0061,108.904
1,113,106.954,67.0215,109.88
1,114,106.289,68.0387,108.605
1,115,105.192,66.2493,108.946
1,116,104.491,66.6196,109.695
1,117,104.704,66.2644,107.972
1,118,105.448,65.2009,109.099
1,119,111.171,64.1486,104.841
1,120,110.493,64.9892,104.693
1,121,112.118,64.3952,104.36
1,122,110.699,62.8984,104.01
1,123,111.37,62.045,104.111
1,124,109.75,62.6026,104.457
1,125,110.468,63.1067,102.965
1,126,110.031,56.6271,110.056
1,127,109.284,57.2525,110.544
1,128,109.568,56.1765,109.178
1,129,110.347,55.5093,111.052
1,130,111.193,54.9103,110.715
1,131,110.592,55.9073,112.037
1,132,109.152,54.525,111.098
1,133,108.23,55.0978,110.992
1,134,109.216,53.8391,110.254
1,135,109.065,53.7376,112.396
1,136,108.83,54.4175,113.215
1,137,108.281,52.981,112.356
1,138,110.424,53.0246,112.601
1,139,111.243,53.7413,112.663
1,140,110.602,52.3893,111.733
1,141,110.538,52.2179,113.89
1,142,110.355,52.8976,114.723
1,143,109.722,51.495,113.866
1,144,111.797,51.3464,113.827
1,145,111.794,50.9218,112.824
1,146,111.73,50.5226,114.538
1,147,113.133,52.0919,113.957
1,148,113.27,52.7099,113.07
1,149,113.143,52.7498,114.826
1,150,114.246,51.166,114.08
1,151,114.391,50.4513,113.27
1,152,114.021,50.6023,114.985
1,153,115.582,51.9355,114.216
1,154,116.324,51.2356,114.599
1,155,115.886,52.3528,113.256
1,156,115.399,52.7442,114.924
1,157,111.327,71.9043,113.32
1,158,110.598,71.2013,113.723
1,159,112.247,71.3545,113.124
1,160,111.521,72.857,114.571
1,161,110.663,73.4807,114.823
1,162,111.779,72.2736,115.455
1,163,112.705,73.8662,114.271
1,164,113.602,73.2714,114.446
1,165,112.737,74.2224,113.241
1,166,112.699,75.185,115.178
1,167,113.721,75.5573,115.236
1,168,112.416,74.8307,116.169
1,169,111.693,76.3138,114.808
1,170,111.887,76.7181,113.815
1,171,110.691,75.8849,114.804
1,172,111.679,77.4538,115.791
1,173,111.391,77.0471,116.76
1,174,112.728,77.7422,115.849
1,175,110.78,78.5078,115.33
1,176,111.14,79.0354,114.446
1,177,109.838,78.0262,115.07
1,178,110.53,79.5325,116.398
1,179,110.266,79.0579,117.343
1,180,111.485,80.0387,116.535
1,181,109.409,80.517,116.088
1,182,109.442,80.9679,115.097
1,183,108.415,80.092,116.228
1,184,109.427,81.6114,117.165
1,185,109.525,81.2114,118.174
1,186,110.341,82.1703,116.962
1,187,108.547,82.2319,116.997
2,1,92.4317,119.175,92.3963
2,2,92.5016,120.095,91.3347
2,3,92.6751,121.49,91.5575
2,4,92.9563,121.911,92.8682
2,5,93.023,121.004,93.9762
2,6,92.6361,119.643,93.7699
2,7,92.5586,118.982,94.8894
2,8,93.0608,119.98,96.0896
2,9,93.3804,121.315,95.2033
2,10,92.1246,117.896,91.8655
2,11,92.1735,117.997,90.51
2,12,92.5382,119.317,90.1642
2,13,93.346,123.26941401932959,92.7854
2,14,93.1167,123.65811401932959,91.4815
2,15,92.549,122.6251140193296,90.7816
2,16,91.9676,116.752,89.8792
2,17,91.7825,115.752,90.8092
2,18,91.8784,116.346,92.4927
2,19,93.5655,124.9426140193296,91.278
2,20,94.067,125.52251401932959,92.493
2,21,93.9111,124.49371401932959,93.8449
2,22,91.6866,114.498,90.2331
2,23,91.5864,114.566,88.8693
2,24,91.8549,116.196,88.3019
2,25,94.5587,126.85161401932959,92.3232
2,26,94.5068,127.30071401932959,91.0047
2,27,93.7893,126.0326140193296,89.9324
2,28,91.4007,113.457,88.0541
2,29,91.3844,113.177,86.7041
2,30,94.9562,128.6081140193296,90.6641
2,31,95.2289,129.3341140193296,89.5064
2,32,92.9044,119.63,88.7782
2,33,92.0179,122.7075140193296,89.4205
2,34,95.2042,127.55261401932958,93.5571
2,35,91.6475,113.241,91.0711
2,36,90.968,111.828,86.112
2,37,91.0997,112.039,84.6204
2,38,91.4953,113.368,84.3195
2,39,91.6754,114.115,85.609
2,40,95.7967,130.71851401932958,89.3892
2,41,96.018,130.9874140193296,87.9259
2,42,95.6025,129.8722140193296,87.2121
2,43,94.9795,128.88471401932958,88.0905
2,44,91.5587,113.912,83.0626
2,45,91.3827,113.076,82.0091
2,46,91.0983,111.687,82.2114
2,47,90.889,111.192,83.5326
2,48,95.6494,129.7935140193296,85.7963
2,49,96.0759,130.9209140193296,85.1136
2,50,96.5611,132.0317140193296,85.8354
2,51,96.6562,131.98761401932958,87.2271
2,52,91.8248,115.322,85.6737
2,53,94.7171,127.71211401932959,87.8017
2,54,90.9621,110.788,81.2377
2,55,91.5129,113.464,80.7654
2,56,96.154,130.9539140193296,83.7964
2,57,96.9156,133.1669140193296,85.1911
2,58,90.7359,110.633,86.6915
2,59,90.4719,109.398,86.0293
2,60,90.4154,108.367,85.4535
2,61,90.8545,110.378,88.0673
2,62,90.9651,110.227,89.1917
2,63,96.186,131.6405140193296,90.3865
2,64,95.9103,131.5898140193296,91.7765
2,65,95.6229,131.47991401932958,92.9111
2,66,96.9607,132.8314140193296,90.1322
2,67,97.614,133.7884140193296,89.9537
2,68,90.9714,112.675,88.6685
2,69,95.1212,129.2070140193296,91.5515
2,70,92.1398,120.266,88.332
2,71,92.9271,118.694,88.2198
2,72,91.5388,121.731,89.3529
2,73,92.6812,122.8134140193296,88.5621
2,74,95.7456,128.4083140193296,93.1538
2,75,95.9392,126.8357140193296,93.9232
2,76,90.8807,112.558,90.7055
2,77,91.3386,113.592,92.0554
2,78,91.6873,114.978,82.9172
2,79,90.6546,110.138,83.5672
2,80,95.2659,128.9196140193296,85.2823
2,81,97.0643,132.9297140193296,87.5647
2,82,94.3266,120.199,88.6206
2,83,94.4323,121.143,89.1556
2,84,94.5745,120.577,87.1603
2,85,94.7734,119.69,86.5593
2,86,93.6798,121.056,86.7621
2,87,95.7164,121.564,86.9469
2,88,95.4778,122.461,87.5184
2,89,96.6481,121.157,87.3396
