mol,mol_atom_id,x,y,z
1,67,47.2576,105.463,118.174
1,68,58.2219,113.209,136.09847762189827
1,69,50.1626,105.303,123.014
1,70,53.6502,111.601,131.68187762189825
1,71,52.9554,110.764,130.29647762189825
1,72,53.5004,110.198,128.15277762189825
1,73,52.5718,109.437,126.86367762189826
1,74,50.6479,103.125,124.11107762189826
1,75,52.1548,102.791,124.96007762189826
1,76,57.3308,109.532,136.82417762189826
1,77,57.781,111.143,137.37517762189827
1,78,53.2477,116.979,135.75867762189827
1,79,57.6666,118.789,137.18037762189826
1,80,52.558,109.889,119.524
1,81,48.7147,107.381,117.685
1,82,53.4346,112.725,130.09907762189826
1,83,52.4169,112.615,130.47347762189827
1,84,53.7419,114.028,130.93197762189826
1,85,54.3407,114.667,130.28227762189826
1,86,54.3448,113.784,131.80637762189826
1,87,52.5698,114.827,131.57067762189826
1,88,52.0532,114.25,132.33797762189826
1,89,51.8304,115.136,130.83187762189826
1,90,52.9947,116.152,132.09867762189828
1,91,53.3176,116.932,131.40947762189825
1,92,53.835,115.915,132.75137762189826
1,93,51.8043,116.824,132.95797762189827
1,94,50.8358,116.557,132.53497762189826
1,95,51.9815,117.899,132.98287762189827
1,96,51.8189,116.591,134.02257762189828
1,97,54.7514,111.091,125.77877762189826
1,98,54.541,111.809,126.57177762189826
1,99,56.1329,111.399,125.07537762189827
1,100,56.0701,112.219,124.35987762189826
1,101,56.4851,110.517,124.54097762189826
1,102,57.2993,111.824,125.97607762189827
1,103,57.5634,111.016,126.65887762189826
1,104,57.0311,112.694,126.57627762189827
1,105,58.5397,112.247,125.19067762189826
1,106,58.2768,112.994,124.44217762189825
1,107,58.8557,111.346,124.66497762189826
1,108,59.6642,112.702,126.15217762189826
1,109,60.6282,112.825,125.65877762189825
1,110,59.6238,112.009,126.99317762189827
1,111,59.3758,113.65,126.60617762189827
1,112,52.8036,113.214,128.70567762189825
1,113,51.8045,113.628,128.84107762189825
1,114,52.7106,112.309,128.10487762189825
1,115,53.5157,114.33,127.93067762189827
1,116,53.128,115.305,128.22787762189824
1,117,53.3947,114.185,126.85717762189826
1,118,54.5896,114.236,128.09207762189826
1,119,53.6513,111.085,124.62347762189826
1,120,52.8111,110.514,125.01857762189826
1,121,54.0315,110.556,123.74917762189827
1,122,53.1372,112.428,124.06567762189826
1,123,52.5457,112.326,123.15597762189826
1,124,53.8942,113.212,124.03677762189827
1,125,52.3072,112.695,124.71997762189827
1,126,52.2583,102.868,122.83907762189827
1,127,53.318,103.079,122.695
1,128,51.7143,103.309,122.004
1,129,52.177,101.316,122.77877762189826
1,130,51.1333,101.008,122.719
1,131,52.5926,100.909,123.70067762189827
1,132,53.0236,100.698,121.649
1,133,54.0305,101.116,121.645
1,134,52.5466,100.969,120.707
1,135,52.9695,99.0841,121.68
1,136,51.8982,98.9073,121.584
1,137,53.2886,98.6816,122.641
1,138,53.7605,98.389,120.545
1,139,53.8272,97.3226,120.761
1,140,54.7744,98.7885,120.523
1,141,53.0167,98.6099,119.191
1,142,53.1797,99.6525,118.918
1,143,51.9461,98.4675,119.338
1,144,53.436,97.459,118.163
1,145,53.3771,96.489,118.657
1,146,54.4764,97.6291,117.886
1,147,52.6061,97.1519,116.899
1,148,52.5368,98.0705,116.316
1,149,51.609,96.9181,117.272
1,150,53.2622,96.0923,115.887
1,151,53.5996,95.176,116.371
1,152,54.1347,96.58,115.452
1,153,52.3573,95.7683,114.72
1,154,51.381,95.5053,115.127
1,155,52.8974,94.9818,114.193
1,156,52.3957,96.6212,114.042
1,157,59.2464,109.867,136.30967762189826
1,158,59.8506,110.657,135.86387762189827
1,159,59.2204,109.032,135.60947762189826
1,160,59.9621,109.546,137.66877762189827
1,161,59.26,108.843,138.11697762189826
1,162,60.0035,110.428,138.30727762189827
1,163,61.3871,108.893,137.48037762189827
1,164,61.3438,108.261,136.59317762189826
1,165,61.5827,108.25,138.33827762189827
1,166,62.643,109.77,137.22927762189826
1,167,62.7242,110.575,137.95947762189826
1,168,62.6708,110.217,136.23567762189828
1,169,63.9086,108.964,137.40097762189828
1,170,64.1445,108.282,136.58447762189826
1,171,63.8286,108.376,138.31477762189826
1,172,65.1489,109.885,137.49977762189826
1,173,65.0659,110.779,138.11787762189826
1,174,65.2439,110.205,136.46207762189826
1,175,66.4172,109.174,138.08937762189828
1,176,66.5068,108.145,137.74127762189826
1,177,66.3202,109.152,139.17477762189827
1,178,67.8191,109.836,137.98057762189825
1,179,67.6503,110.81,138.43987762189826
1,180,68.0221,109.997,136.92187762189826
1,181,68.8368,108.997,138.66237762189826
1,182,68.7619,107.962,138.32957762189827
1,183,68.5594,109.029,139.71597762189828
1,184,70.2883,109.39,138.29887762189827
1,185,71.0512,109.027,138.98717762189827
1,186,70.4102,110.474,138.30907762189827
1,187,70.4332,109.107,137.25647762189826
1,188,54.7757,111.969,129.86687762189825
1,189,55.0628,111.647,128.86577762189825
1,190,55.6755,112.311,130.37767762189827
1,191,54.7299,109.713,126.43677762189827
1,192,54.7576,108.913,125.69677762189826
1,193,55.5645,109.562,127.12157762189827
2,1,136.84517762189824,105.054,73.4262
2,2,136.08317762189827,105.493,72.2691
2,3,134.90967762189825,106.38,72.4258
2,4,134.62147762189826,106.719,73.7851
2,5,135.35367762189827,106.305,74.9323
2,6,136.51757762189825,105.489,74.7677
2,7,137.12627762189825,105.095,75.9093
2,8,136.33297762189827,105.849,77.0947
2,9,135.20937762189826,106.67,76.1882
2,10,137.82027762189827,104.209,73.018
2,11,137.78167762189827,104.028,71.6423
2,12,136.78287762189825,104.852,71.1317
2,13,133.49087762189828,107.607,73.7601
2,14,133.16797762189827,107.916,72.4178
2,15,134.08677762189825,107.216,71.5971
2,16,138.71717762189826,103.069,71.2676
2,17,139.47837762189826,102.618,72.3342
2,18,138.94217762189825,103.247,73.8658
2,19,132.09357762189825,108.802,72.32
2,20,131.60087762189826,109.215,73.5109
2,21,132.40377762189826,108.394,74.9042
2,22,140.44717762189828,101.648,72.0211
2,23,140.39277762189826,101.337,70.6095
2,24,139.16037762189825,102.257,69.793
2,25,130.54807762189827,110.156,73.4647
2,26,130.29197762189827,110.597,72.1154
2,27,131.41297762189828,109.639,71.0146
2,28,141.43877762189828,100.605,69.9799
2,29,142.16227762189826,100.529,68.8044
2,30,129.43527762189825,111.615,71.7806
2,31,128.52477762189827,112.009,70.7656
2,32,136.65677762189827,105.022,69.6728
2,33,133.83057762189827,107.403,70.1862
2,34,129.89287762189826,110.804,74.6924
2,35,141.52807762189826,101.057,72.9248
2,36,143.13237762189826,99.4488,68.447
2,37,143.52987762189827,99.8194,67.0446
2,38,142.88217762189828,100.965,66.5778
2,39,142.11407762189828,101.512,67.6874
2,40,127.73297762189827,113.322,70.7048
2,41,127.05487762189827,113.316,69.3933
2,42,127.37217762189826,112.109,68.7024
2,43,128.25327762189826,111.236,69.5284
2,44,143.11397762189824,101.54,65.333
2,45,143.97007762189827,100.893,64.475
2,46,144.60747762189825,99.7386,64.9377
2,47,144.45747762189825,99.2736,66.2091
2,48,126.89897762189827,111.79,67.3799
2,49,126.21987762189826,112.841,66.7488
2,50,125.79377762189827,113.972,67.4583
2,51,126.18927762189827,114.217,68.7462
2,52,141.44207762189825,102.566,67.6425
2,53,128.71797762189826,110.124,69.1878
2,54,145.42357762189826,99.0577,64.0549
2,55,144.42187762189826,101.343,63.2124
2,56,125.88777762189827,112.793,65.4834
2,57,124.99687762189826,114.787,66.8356
2,58,143.48207762189827,98.257,69.1113
2,59,144.40817762189826,97.3387,68.5329
2,60,145.17677762189828,96.6073,68.056
2,61,143.14167762189828,97.8148,70.4503
2,62,142.78867762189827,97.4198,71.4942
2,63,127.55937762189826,114.366,71.6527
2,64,128.03667762189826,114.342,72.9655
2,65,128.41107762189827,114.33,74.1118
2,66,126.81777762189826,115.587,71.5147
2,67,126.32367762189827,116.664,71.3642
2,68,141.63817762189825,99.7856,70.6549
2,69,129.54477762189828,112.347,72.5677
2,70,135.59997762189826,105.278,69.5942
2,71,136.76797762189827,103.975,69.3939
2,72,134.79407762189825,107.344,69.68
2,73,133.39997762189824,108.381,69.9699
2,74,129.95757762189825,111.886,74.5773
2,75,130.46467762189826,110.528,75.5785
2,76,141.75177762189827,101.832,73.6576
2,77,142.43667762189824,100.866,72.3539
2,78,142.52737762189827,102.413,65.0753
2,79,145.06467762189826,98.4069,66.4285
2,80,127.20717762189827,110.855,66.927
2,81,125.78187762189826,115.049,69.3015
2,82,136.90967762189825,105.417,68.0438
2,83,135.91997762189825,104.993,67.8735
2,84,136.46497762189827,106.653,67.0787
2,85,135.81707762189825,107.276,67.6957
2,86,135.89667762189828,106.35,66.1994
2,87,137.45877762189826,107.667,66.5629
2,88,137.99697762189825,107.288,65.6938
2,89,138.19247762189826,107.893,67.3365
2,90,136.70407762189825,108.95,66.1033
2,91,136.00707762189825,109.231,66.8926
2,92,136.11977762189827,108.679,65.2239
2,93,137.57747762189825,110.019,65.6384
2,94,137.89657762189825,110.711,66.4182
2,95,137.05197762189826,110.651,64.9219
2,96,138.49727762189826,109.657,65.1791
2,97,132.50167762189827,106.737,68.0959
2,98,133.39417762189828,107.178,67.6521
2,99,132.17427762189826,105.355,67.4104
2,100,131.15677762189827,105.433,67.0274
2,101,132.21997762189827,104.481,68.0596
2,102,133.07237762189826,105.057,66.1867
2,103,134.12867762189825,105.119,66.4484
2,104,132.85147762189825,105.874,65.4992
2,105,132.76207762189827,103.826,65.3392
2,106,133.52007762189825,103.916,64.561
2,107,131.78517762189827,103.842,64.856
2,108,132.83537762189826,102.503,66.1121
2,109,132.69147762189826,101.645,65.4556
2,110,132.14137762189827,102.555,66.9511
2,111,133.77387762189827,102.381,66.6527
2,112,137.74627762189826,104.376,67.1895
